11 26 38 20 14 22 57 13 40 99 17 6 8 69 94 72 | 6
26 12 21 17 47 45 53 61 88 7 18 100 81 95 94 14 | 3
21 47 28 88 53 62 70 82 86 94 | 2
21 44 56 37 89 4 66 100 92 57 | 7
84 13 27 7 48 33 18 51 53 63 65 66 68 69 94 74 14 | 5
14 49 46 37 57 51 36 98 77 61 89 5 54 91 90 74 | 8
5 4 3 2 1 | 2
26 20 66 17 76 43 50 58 60 61 74 4 71 70 91 100 92 87 78 | 6
10 27 15 48 23 61 53 52 35 62 63 4 7 100 | 2
26 48 17 37 99 89 6 81 84 14 | 2
1 27 44 51 29 99 88 4 69 65 | 3
26 47 39 62 74 89 65 83 90 93 87 | 5
39 38 20 48 16 19 44 50 41 75 74 73 84 | 6
10 26 15 14 23 33 18 16 19 62 72 71 6 95 | 7
27 49 35 41 89 63 73 4 80 12 86 78 | 8
26 48 23 33 47 57 68 3 63 4 67 91 83 | 8
11 22 55 18 28 36 50 60 33 74 65 70 91 93 41 86 85 | 8
26 3 39 61 88 64 7 100 87 96 | 2
15 57 49 44 30 51 77 9 68 8 95 87 84 | 7
10 26 58 22 46 32 57 30 51 13 52 60 62 5 54 9 69 18 78 | 3
27 21 19 44 37 50 88 91 90 81 31 84 | 5
25 39 12 59 17 56 57 30 37 29 60 90 5 97 6 83 69 79 | 2
10 33 18 29 35 60 53 32 93 78 | 2
14 54 19 32 57 40 62 70 87 78 | 3
11 26 38 30 43 53 34 9 88 91 95 | 4
13 49 54 51 43 82 62 5 71 9 92 | 7
25 15 16 31 43 74 64 67 5 92 69 | 5
24 54 32 88 35 41 99 98 62 53 67 8 40 90 | 2
24 26 12 33 47 53 1 55 3 2 5 72 71 83 90 95 87 79 78 | 7
15 35 98 75 74 89 72 69 9 64 100 | 3
14 57 45 53 52 60 3 89 73 90 86 97 | 1
25 48 49 57 70 28 29 43 2 4 6 82 81 97 | 4
11 26 27 89 98 63 37 31 28 43 35 60 61 3 74 64 4 87 | 7
19 31 3 35 75 84 93 44 97 85 | 8
27 22 44 9 74 73 66 68 90 84 | 2
39 27 15 14 49 16 51 50 40 20 1 76 75 38 65 8 80 85 | 6
27 20 23 45 40 60 62 49 59 97 | 6
11 25 27 55 54 29 52 60 74 71 32 92 96 | 6
20 22 32 29 41 36 5 70 9 18 | 5
11 12 26 27 22 23 33 95 44 50 41 99 89 100 92 86 87 85 | 5
